relative_path,group,type,size,width,height,sha256,path
fishing\fish_inv_2k\zhereh.png,fishing,png,7634,121,31,d8791726a9332bd940f3474e608953cab47d63235814a476b667174d8f2fbc59,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_2k\zhereh.png
fishing\fish_inv_hd\albula.png,fishing,png,3099,87,18,bbcc7f4b4fdc1264e827564b8a8db41e968b28b890ad27906959b4063bf73431,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\albula.png
fishing\fish_inv_hd\ancient_gyneria.png,fishing,png,3948,64,25,0b681f3f01297438b87ca01dc18383704df6982cdaef15461e9983cd2feb8cfa,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\ancient_gyneria.png
fishing\fish_inv_hd\barracuda.png,fishing,png,2851,93,20,855f7a67d34c896943f9f2de28528c3df27f255534feab667c3593d605666a03,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\barracuda.png
fishing\fish_inv_hd\bream_leshch.png,fishing,png,3504,77,29,a2241f97b68ac85cf493de01df4eb31207f00a6782352d73c235538d82aac26d,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\bream_leshch.png
fishing\fish_inv_hd\common_snook.png,fishing,png,3154,85,26,15ce2e0921e6e0885b8314420d9b92463b2ea8c46cfa9bb9a474390ea7656e42,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\common_snook.png
fishing\fish_inv_hd\golavl.png,fishing,png,4241,94,24,f438a74c3b97780dfed93dfbfea0efbba8f4be0bc3e506ef22f147ff56737d06,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\golavl.png
fishing\fish_inv_hd\korichnevy_som.png,fishing,png,3885,83,28,006cd3ed7114503600427ef949f1b9d239722a74a62d40087daa89be13a096a0,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\korichnevy_som.png
fishing\fish_inv_hd\krasny_gorbyl.png,fishing,png,3977,88,26,83bde0d07dd9d79fe496dbdb6cf1ce4fd3b048f110ebd5bc174ff42f7cbe4a22,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\krasny_gorbyl.png
fishing\fish_inv_hd\krugly_trahinot.png,fishing,png,2888,66,30,e94907b496f26b3dea3c06f3e40bf7bfeb2af071e9db983347d5fddb52d206f0,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\krugly_trahinot.png
fishing\fish_inv_hd\marlin.png,fishing,png,2869,66,14,121847d7e9cc718b4a44dad1258416c8a4070240c3afdf61b10d5eae0ff0ce16,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\marlin.png
fishing\fish_inv_hd\obyknovennaya_shchuka.png,fishing,png,3257,87,23,3084583f81f03bdadecfd3fb6e5fa87938a361d19d066189596b8cff4cabadde,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\obyknovennaya_shchuka.png
fishing\fish_inv_hd\polosaty_lavrak.png,fishing,png,3825,86,27,d179b8829e7e9cc1ba0f794743e52e8ff7e86faadfbc5b264bbeb3677a96a801,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\polosaty_lavrak.png
fishing\fish_inv_hd\pribrezhny_bass.png,fishing,png,4446,90,25,06d62c0e3255e0c167b2e190d13780cd49bae993ed078fa8af7b4067ce7c466f,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\pribrezhny_bass.png
fishing\fish_inv_hd\raduzhnaya_forel.png,fishing,png,3789,79,27,b70d65a3a3ef074293ec35142fb0ae7e5b73e5f42b93fa92777a7736041d3a74,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\raduzhnaya_forel.png
fishing\fish_inv_hd\rechnoy_okun.png,fishing,png,4062,80,25,73d0418206e1d6f8c57f1929b8dd087e86d3126c07c9d811ef6c72b66542c02f,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\rechnoy_okun.png
fishing\fish_inv_hd\remove.png,fishing,png,1412,140,13,e2f146538bfee08dfb868441eda26553dc2406575346dd6c06ca2b92ce3a0b7c,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\remove.png
fishing\fish_inv_hd\roach_plotva.png,fishing,png,1094,40,15,b09b60e7ddabea6b27917aa8e99560ee6827962b8ea2369df3f3eaf8c1d5b8a3,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\roach_plotva.png
fishing\fish_inv_hd\roach_vobla.png,fishing,png,3512,73,32,993657a50f5048cbd5054f26ffb8911d7e6bdb8bda17b77b28d8bd9d0c38d9fd,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\roach_vobla.png
fishing\fish_inv_hd\rudd_krasnoperka.png,fishing,png,1233,38,16,be57d420b109065f74eabdbe528b84c90fe3347fb87364a4c9dd99585c5a23be,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\rudd_krasnoperka.png
fishing\fish_inv_hd\ruster.png,fishing,png,2549,61,17,f18ce296a087968087ac62158c1246ea3f824b3f30b3afed51cbd9de03bee636,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\ruster.png
fishing\fish_inv_hd\sazan.png,fishing,png,4101,80,27,00b254ecc13c023e25961cd008911dc5f95892173c4e3406699cc76d0c33b6d7,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\sazan.png
fishing\fish_inv_hd\serebryany_karas.png,fishing,png,3949,79,27,8f3cb7eaf670f41f339a0f7522bcbfcdf91af4d72e071f2f11082df961bb6ef1,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\serebryany_karas.png
fishing\fish_inv_hd\seriola.png,fishing,png,4727,74,25,21e550e8f9012fccdd2e84084975cdc3e9b99ed4413626b937215b81511297ac,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\seriola.png
fishing\fish_inv_hd\som_obyknovennyy.png,fishing,png,3342,87,24,5bf6478355fed32b1f7955d31f36a55c967235947b76adc2658d04f4002f8c3d,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\som_obyknovennyy.png
fishing\fish_inv_hd\steelhead_salmon.png,fishing,png,3428,87,21,27e0800b8bd45875bdb851fe335ecac6748189d5b693312d895320c649310b58,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\steelhead_salmon.png
fishing\fish_inv_hd\sterlet.png,fishing,png,4975,127,27,8c4719b56dcfd0ee0d7c3f22d249c92b3f786d039763775e6a1e8e5105300390,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\sterlet.png
fishing\fish_inv_hd\sudak_obyknovennyy.png,fishing,png,4099,87,27,9aaf44efc38eed22bf71c8d4adc9b47115d0cb4cdb8016db92364f4734701d32,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\sudak_obyknovennyy.png
fishing\fish_inv_hd\tarpon.png,fishing,png,4442,87,21,0f38cf033aed3eef7e9061717d1a75107a5a56846b0c4da4a6d3308e31b36e9d,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\tarpon.png
fishing\fish_inv_hd\temny_gorbyl.png,fishing,png,3297,74,27,f3ae95e7ef940286040a853923744dff20a84f4a78e519071da05e16c5e453a3,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\temny_gorbyl.png
fishing\fish_inv_hd\toksichny_okun.png,fishing,png,3047,53,30,adfa14d94c65e117e7bc2c38c2304845e75da39b67cc3eaa944ee391d5c7894a,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\toksichny_okun.png
fishing\fish_inv_hd\zerkalny_karp.png,fishing,png,3060,75,26,9dcedcebf4cb407a2ddb40d527da080484c551705e0f6d6856a37dc5a51b4a37,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\zerkalny_karp.png
fishing\fish_inv_hd\zhereh.png,fishing,png,3353,90,23,52d7d4a67920386f1afb7337c83a45b83eab92c29233cf6295c8feb3f7dac49e,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_inv_hd\zhereh.png
fishing\fish_ocean\1.png,fishing,png,316,14,12,afc565148af0b20b55e45fbc1c3149cac68fe40394aee8d5c584af12a0f55870,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish_ocean\1.png
